OrderID,OrderDate,Product,Category,Quantity,UnitPrice,Region,StockLevel
1,2024-04-12,Phone,Clothing,7,182.99,North,21
2,2024-12-14,Shoes,Clothing,3,386.68,West,1
3,2024-09-27,Chair,Clothing,7,869.99,North,29
4,2024-04-16,Shoes,Electronics,1,732.37,South,0
5,2024-03-12,Laptop,Clothing,1,65.03,West,45
6,2024-07-07,Shoes,Electronics,4,518.76,North,12
7,2024-01-21,Chair,Electronics,4,100.38,South,2
8,2024-04-12,Laptop,Clothing,4,957.92,West,19
9,2024-05-01,Shirt,Clothing,9,252.19,West,4
10,2024-08-02,Laptop,Electronics,6,933.29,North,1
11,2024-11-26,Phone,Electronics,3,835.67,South,25
12,2024-03-28,Laptop,Clothing,6,555.85,North,28
13,2024-04-09,Shirt,Electronics,2,342.94,West,17
14,2024-12-25,Shoes,Electronics,2,859.37,South,8
15,2024-05-31,Laptop,Clothing,7,161.26,East,21
16,2024-05-10,Laptop,Clothing,3,188.17,East,27
17,2024-05-29,Laptop,Furniture,7,232.48,East,11
18,2024-11-04,Laptop,Clothing,3,601.72,West,36
19,2024-09-14,Shirt,Clothing,2,321.18,East,17
20,2024-12-09,Chair,Clothing,4,989.29,West,33
21,2024-10-20,Chair,Furniture,4,203.16,South,41
22,2024-07-10,Laptop,Electronics,3,807.55,North,41
23,2024-10-03,Shirt,Clothing,9,104.88,West,2
24,2024-06-09,Shirt,Clothing,6,359.91,South,45
25,2024-11-09,Laptop,Furniture,5,251.32,South,4
26,2024-01-22,Phone,Furniture,6,977.07,South,22
27,2024-09-09,Laptop,Furniture,8,35.47,North,12
28,2024-08-23,Phone,Electronics,5,724.45,West,23
29,2024-12-10,Laptop,Furniture,4,255.24,South,27
30,2024-02-18,Phone,Electronics,7,813.14,East,16
31,2024-02-28,Phone,Clothing,5,318.11,East,5
32,2024-06-18,Laptop,Clothing,4,195.41,South,26
33,2024-07-06,Phone,Clothing,5,696.11,East,44
34,2024-09-27,Shoes,Furniture,4,265.0,East,28
35,2024-07-08,Chair,Clothing,8,490.69,West,11
36,2024-06-23,Shirt,Furniture,8,140.22,North,34
37,2024-02-20,Phone,Electronics,1,727.35,West,47
38,2024-12-29,Phone,Clothing,3,412.77,South,4
39,2024-02-24,Shirt,Electronics,4,149.17,South,1
40,2024-08-31,Phone,Furniture,2,744.18,East,10
41,2024-11-15,Shirt,Furniture,5,112.33,West,3
42,2024-05-10,Laptop,Clothing,8,579.07,South,21
43,2024-11-02,Shoes,Clothing,2,611.41,South,0
44,2024-05-14,Shoes,Furniture,9,931.05,East,44
45,2024-01-21,Chair,Clothing,7,159.47,East,49
46,2024-11-24,Phone,Clothing,6,656.81,South,15
47,2024-06-15,Chair,Electronics,8,386.96,West,1
