OrderID,OrderDate,Product,Category,Quantity,UnitPrice,Region,StockLevel,TotalSales,LowStock
1,2024-04-12,Phone,Clothing,7,182.99,North,21,1280.93,No
2,2024-12-14,Shoes,Clothing,3,386.68,West,1,1160.04,Yes
3,2024-09-27,Chair,Clothing,7,869.99,North,29,6089.93,No
4,2024-04-16,Shoes,Electronics,1,732.37,South,0,732.37,Yes
5,2024-03-12,Laptop,Clothing,1,65.03,West,45,65.03,No
6,2024-07-07,Shoes,Electronics,4,518.76,North,12,2075.04,No
7,2024-01-21,Chair,Electronics,4,100.38,South,2,401.52,Yes
8,2024-04-12,Laptop,Clothing,4,957.92,West,19,3831.68,No
9,2024-05-01,Shirt,Clothing,9,252.19,West,4,2269.71,Yes
10,2024-08-02,Laptop,Electronics,6,933.29,North,1,5599.74,Yes
11,2024-11-26,Phone,Electronics,3,835.67,South,25,2507.0099999999998,No
12,2024-03-28,Laptop,Clothing,6,555.85,North,28,3335.1000000000004,No
13,2024-04-09,Shirt,Electronics,2,342.94,West,17,685.88,No
14,2024-12-25,Shoes,Electronics,2,859.37,South,8,1718.74,No
15,2024-05-31,Laptop,Clothing,7,161.26,East,21,1128.82,No
16,2024-05-10,Laptop,Clothing,3,188.17,East,27,564.51,No
17,2024-05-29,Laptop,Furniture,7,232.48,East,11,1627.36,No
18,2024-11-04,Laptop,Clothing,3,601.72,West,36,1805.16,No
19,2024-09-14,Shirt,Clothing,2,321.18,East,17,642.36,No
20,2024-12-09,Chair,Clothing,4,989.29,West,33,3957.16,No
21,2024-10-20,Chair,Furniture,4,203.16,South,41,812.64,No
22,2024-07-10,Laptop,Electronics,3,807.55,North,41,2422.6499999999996,No
23,2024-10-03,Shirt,Clothing,9,104.88,West,2,943.92,Yes
24,2024-06-09,Shirt,Clothing,6,359.91,South,45,2159.46,No
25,2024-11-09,Laptop,Furniture,5,251.32,South,4,1256.6,Yes
26,2024-01-22,Phone,Furniture,6,977.07,South,22,5862.42,No
27,2024-09-09,Laptop,Furniture,8,35.47,North,12,283.76,No
28,2024-08-23,Phone,Electronics,5,724.45,West,23,3622.25,No
29,2024-12-10,Laptop,Furniture,4,255.24,South,27,1020.96,No
30,2024-02-18,Phone,Electronics,7,813.14,East,16,5691.98,No
31,2024-02-28,Phone,Clothing,5,318.11,East,5,1590.5500000000002,No
32,2024-06-18,Laptop,Clothing,4,195.41,South,26,781.64,No
33,2024-07-06,Phone,Clothing,5,696.11,East,44,3480.55,No
34,2024-09-27,Shoes,Furniture,4,265.0,East,28,1060.0,No
35,2024-07-08,Chair,Clothing,8,490.69,West,11,3925.52,No
36,2024-06-23,Shirt,Furniture,8,140.22,North,34,1121.76,No
37,2024-02-20,Phone,Electronics,1,727.35,West,47,727.35,No
38,2024-12-29,Phone,Clothing,3,412.77,South,4,1238.31,Yes
39,2024-02-24,Shirt,Electronics,4,149.17,South,1,596.68,Yes
40,2024-08-31,Phone,Furniture,2,744.18,East,10,1488.36,No
41,2024-11-15,Shirt,Furniture,5,112.33,West,3,561.65,Yes
42,2024-05-10,Laptop,Clothing,8,579.07,South,21,4632.56,No
43,2024-11-02,Shoes,Clothing,2,611.41,South,0,1222.82,Yes
44,2024-05-14,Shoes,Furniture,9,931.05,East,44,8379.449999999999,No
45,2024-01-21,Chair,Clothing,7,159.47,East,49,1116.29,No
46,2024-11-24,Phone,Clothing,6,656.81,South,15,3940.8599999999997,No
47,2024-06-15,Chair,Electronics,8,386.96,West,1,3095.68,Yes
48,2024-09-30,Laptop,Furniture,2,406.81,North,40,813.62,No
49,2024-03-29,Shoes,Electronics,5,506.81,West,26,2534.05,No
50,2024-11-11,Laptop,Clothing,4,241.45,East,11,965.8,No
51,2024-01-14,Laptop,Electronics,8,466.57,South,4,3732.56,Yes
52,2024-08-29,Phone,Furniture,1,689.98,East,4,689.98,Yes
53,2024-09-21,Laptop,Electronics,3,462.54,South,21,1387.6200000000001,No
54,2024-12-11,Shoes,Electronics,8,52.08,South,12,416.64,No
55,2024-02-22,Chair,Clothing,5,265.25,North,15,1326.25,No
56,2024-12-05,Shoes,Furniture,4,357.95,East,25,1431.8,No
57,2024-04-01,Phone,Clothing,6,361.17,North,8,2167.02,No
58,2024-09-20,Shoes,Clothing,5,90.2,West,47,451.0,No
59,2024-02-04,Shirt,Furniture,3,455.07,East,31,1365.21,No
60,2024-07-24,Chair,Electronics,5,695.03,North,18,3475.1499999999996,No
61,2024-03-21,Shirt,Clothing,4,58.19,East,35,232.76,No
62,2024-02-19,Shirt,Electronics,1,753.41,North,27,753.41,No
63,2024-12-25,Phone,Furniture,1,955.55,North,14,955.55,No
64,2024-01-02,Laptop,Clothing,7,19.24,East,8,134.67999999999998,No
65,2024-02-23,Shirt,Electronics,4,201.76,West,15,807.04,No
66,2024-04-15,Shoes,Electronics,1,548.05,North,5,548.05,No
67,2024-09-16,Laptop,Clothing,6,225.87,North,7,1355.22,No
68,2024-11-05,Shoes,Furniture,1,766.98,East,32,766.98,No
69,2024-07-09,Shoes,Electronics,8,319.01,West,31,2552.08,No
70,2024-08-05,Laptop,Furniture,9,300.69,East,45,2706.21,No
71,2024-02-13,Laptop,Clothing,3,10.91,South,35,32.730000000000004,No
72,2024-06-10,Shoes,Electronics,7,277.42,East,41,1941.94,No
73,2024-07-20,Phone,Electronics,5,225.49,South,47,1127.45,No
74,2024-09-26,Chair,Electronics,3,349.81,North,35,1049.43,No
75,2024-12-16,Chair,Furniture,5,156.18,West,33,780.9000000000001,No
76,2024-10-30,Phone,Electronics,7,598.7,West,1,4190.900000000001,Yes
77,2024-09-27,Laptop,Electronics,7,246.35,East,12,1724.45,No
78,2024-08-02,Shoes,Clothing,9,833.43,South,42,7500.87,No
79,2024-09-08,Chair,Electronics,8,291.71,East,9,2333.68,No
80,2024-07-08,Shoes,Furniture,4,218.76,West,37,875.04,No
